Region,District,HF,Expected reports,Actual reports,dropout rate,DPT3,PCV 3,wastage rate
Busoga,Bugweri District,Bwigula Health Centre II,1,1,0,40,36,17.9
Bunyoro,Masindi District,Bwijanga Health Centre IV,1,1,27,30,30,-6
Bunyoro,Kagadi District,Bwikara Health Centre III,1,1,-11,90,83,
Bugisu,Bulambuli District,Bwikhonge Health Centre III,1,1,32,42,42,
Kigezi,Kanungu District,Bwindi Community Hospital,1,1,-21,47,47,26.9
Kigezi,Rubanda District,Bwindi Health Centre III,1,1,3,29,29,-203.3
North Central,Mukono District,Bwino Medical Centre,,,,,,
Tooro,Kyegegwa District,Bwiriza Health Centre III,1,1,-12,9,9,
Busoga,Mayuge District,Bwiwula Health Centre II,1,1,-86,13,13,44.3
Tooro,Kamwenge District,Bwizi Health Centre III,1,1,2,62,52,
Ankole,Mbarara District,Bwizibwera Health Centre IV,1,1,1,73,73,48.6
Ankole,Buhweju District,Bwoga Health Centre II,1,1,-25,10,10,91.2
Kampala,Kampala District,Bwogi Medical Centre,,,,,,
Busoga,Mayuge District,Bwondha Health Centre II,1,1,3,99,99,19.3
Ankole,Ntungamo District,Bwongyera Health Centre III,1,1,-73,71,71,
Tooro,Kyegegwa District,Byabakora Health Centre II,1,1,,0,0,
South Central,Rakai District,Byakabanda Health Centre III,1,1,22,25,25,30.8
Tooro,Kyegegwa District,Byamungu Diagnostic Nursing Home (Mpara),,,,,,
Tooro,Kyegegwa District,Byamungu Diagnostic Nursing Home (Rwentuha),1,1,,,,
South Central,Masaka City,Byansi Clinic,1,1,,,,
Bukedi,Butaleja District,Byansi Medical Clinic,,,,,,
South Central,Kyotera District,Byerima Health Centre II,1,1,30,7,6,
North Central,Kyankwanzi District,Byerima Health Centre II,1,1,17,24,24,0
Kigezi,Kanungu District,Byumba Health Centre II,1,1,0,8,8,
South Central,Wakiso District,C & S Clinic - Princess Complex,,,,,,
Teso,Amuria District,Calvary Chapel Health Centre II,1,1,-20,18,18,34.4
Kampala,Kampala District,Cambridge Medical Centre,1,1,,,,
Kampala,Kampala District,Canaan Clinic,,,,,,
Busoga,Mayuge District,Canaan Medical Centre,1,1,,,,
Kampala,Kampala District,Canaanite Health Centre,,,,,,
North Central,Buikwe District,Canan Health Centre II,1,1,-33,8,8,172
North Central,Luwero District,Canan Medical Centre,1,0,,,,
North Central,Kayunga District,Cani Medical Centre,,,,,,
Kampala,Kampala District,Capital care medical Centre,1,1,,,,
Bugisu,Kapchorwa District,Capital Clinic,1,1,,,,
South Central,Wakiso District,Capital Health Clinic,,,,,,
Kampala,Kampala District,Capital Medical Consultants,,,,,,
Acholi,Kitgum District,Capricon Medical Clinic,1,1,,,,
Kampala,Kampala District,Capston Medical Specialist,,,,,,
Kampala,Kampala District,Capstone Medical Centre,,,,,,
North Central,Mityana District,Cardinal Nsubuga Memorial Health Centre III,1,1,40,9,9,
Kampala,Kampala District,Care Clinic,1,0,,,,
Kampala,Kampala District,Care For Life,1,0,,,,
Kampala,Kampala District,Care For the Sick Health Centre,,,,,,
North Central,Kayunga District,Care Health Services Uganda,1,1,,0,0,
Kampala,Kampala District,Care Medic Clinic,,,,,,
Bunyoro,Hoima District,Care Medical Centre (Kigorobya),,,,,,
South Central,Wakiso District,Care Medical Centre (Wakiso),,,,,,
Kampala,Kampala District,Care Medical Clinic,1,0,,,,
South Central,Wakiso District,Care Medical Health Centre II,,,,,,
South Central,Wakiso District,Care Ortho Clinic,1,1,,,,
South Central,Wakiso District,Care Orthopedic Clinic,1,1,,,,
Kampala,Kampala District,Care Plus Clinic,1,1,,,,
Acholi,Gulu City,Care Plus Medical Centre,1,1,,,,
Kampala,Kampala District,Care Plus Medical Clinic,,,,,,
Kampala,Kampala District,Care Plus Medical Clinic,1,0,,,,
Kampala,Kampala District,Care Uganda Health Centre,,,,,,
Lango,Lira City,Care Uganda Medical Centre,1,1,,,,
Kampala,Kampala District,Caremax Medical Centre,1,0,,,,
Kampala,Kampala District,Caremedic Clinic,,,,,,
Kampala,Kampala District,Carewell Medical Clinic,1,0,,,,
South Central,Wakiso District,Carewell Medical Health Centre II,,,,,,
Kampala,Kampala District,Caritas Medical Centre,1,0,,,,
West Nile,Koboko District,Carlos Medical Centre,1,1,,,,
Kampala,Kampala District,Carrapy Clinic,,,,,,
Tooro,Kyegegwa District,Casa Clinic,1,1,,,,
Bukedi,Tororo District,Case Clinic,1,1,,,,
Kampala,Kampala District,Case Medical Centre Hospital,1,1,25,27,27,0
South Central,Wakiso District,CASE Medical Health Centre II,1,1,,,,
Kampala,Kampala District,Catherine Medical Care,1,0,,,,
Kampala,Kampala District,Cawaale Medical Centre,1,0,,,,
South Central,Wakiso District,CDC Laboratory Entebbe Clinic,,,,,,
North Central,Mityana District,CEI Medical Centre,1,1,100,,,0
Kampala,Kampala District,Centenary Medical,,,,,,
Kampala,Kampala District,Centinary Medical Consultant,1,0,,,,
South Central,Lyantonde District,Central clinic (Buyaga),1,1,,,,
Kampala,Kampala District,Central Medical Services,,,,,,
Kampala,Kampala District,Central Police Station Clinic,1,1,,,,
Kampala,Kampala District,Central TT Reference Laboratory(CTRL),,,,,,
Kampala,Kampala District,Centre Clinic,,,,,,
Kampala,Kampala District,Centrise Clinic,,,,,,
Kampala,Kampala District,CFU,,,,,,
Kigezi,Kisoro District,Chahafi Health Centre IV,1,1,-84,46,46,36.6
West Nile,Koboko District,Chakulia Health Centre III,1,1,50,20,20,2.2
Kampala,Kampala District,Chandaria Medical Clinic,1,1,,0,0,100
Kampala,Kampala District,Channel Street Combined Consultancy Clinic,,,,,,
Kampala,Kampala District,Chantric Mc,1,0,,,,
Kampala,Kampala District,Chapman Doctor's Clinic,1,1,,,,
Lango,Lira City,Charis Health Centre III,1,1,,0,0,100
West Nile,Yumbe District,Charity Medical Centre,,,,,,
Acholi,Gulu City,Charity Medical Centre,,,,,,
Lango,Kwania District,Chawente Health Centre III,1,1,-4,70,70,27.2
Bukedi,Tororo District,Chawolo Health Centre II,1,1,-23,16,16,
Bugisu,Kapchorwa District,Chebonet Health Centre III,1,1,,,,
Lango,Apac District,Chegere Health Centre II,1,1,0,33,33,2.2
Bukedi,Pallisa District,Chelekura Health Centre III,1,1,-162,34,34,1.2
Bugisu,Kapchorwa District,Chemosong Health Centre III,1,1,-21,29,29,
Bugisu,Kween District,Chemwom Health Centre III,1,1,40,18,18,5.7
Bugisu,Bukwo District,Chepkwasta Health Centre III,1,1,17,24,24,-85
Bugisu,Kween District,Chepsukunya Health Centre II,1,1,-120,11,11,131.4
Karamoja,Amudat District,Cheptapoyo Health Centre II,1,1,8,48,48,21.1
Bugisu,Kapchorwa District,Chepterech Health Centre II,1,1,-100,4,4,96.5
Bugisu,Kapchorwa District,Cheptuya Health Centre III,1,1,-4,24,24,-86.5
South Central,Wakiso District,Cherish Medical Health Centre III,1,1,100,,,
Bugisu,Bukwo District,Chesimat Health Centre II,1,1,-9,12,12,15
Bugisu,Bukwo District,Chesower Health Centre III,1,1,-75,21,21,62
Kigezi,Kisoro District,Chibumba Health Centre II,1,1,-100,14,14,30
Kigezi,Kisoro District,Chihe Health Centre II,1,1,60,4,15,42
Busoga,Kamuli District,Child and Family Health Centre II,1,1,63,11,11,1.8
Kampala,Kampala District,Child and Family Medical Clinic,1,1,56,7,7,-2.5
Acholi,Gulu City,Child Care Community Centre,,,,,,
South Central,Wakiso District,Child in Need Institute Health Centre III,1,0,,,,
Kampala,Kampala District,Children Justice Initiative Reception Centre,,,,,,
Lango,Lira City,Children Of The Nation Medical Centre,1,1,,,,
Kampala,Kampala District,Children's Clinic Kampala,1,1,0,7,7,20
South Central,Wakiso District,Children's Clinic Kireka,,,,,,
South Central,Wakiso District,Childrens Clinic Nalya,1,1,,,,
Kampala,Kampala District,Childrens Medical Centre,1,1,-150,5,5,0
Kampala,Kampala District,China Uganda Friendship (Naguru) Regional Referral Hospital,1,1,48,75,75,14.2
Kampala,Kampala District,Chinese Clinic,,,,,,
Kampala,Kampala District,Chinese Clinic Centre,,,,,,
Acholi,Nwoya District,Chobe Safari Lodge Health Centre II,1,1,,0,0,
Kampala,Kampala District,Choice Medical Clinic,1,1,-200,3,4,
South Central,Wakiso District,Chris Medical Clinic (Kira),1,0,,,,
Lango,Lira City,Christ Care Medical Centre,1,1,,,,
Kampala,Kampala District,Christ Medical Centre,,,,,,
South Central,Lwengo District,Christ the King Domiciliary,1,1,,,,
North Central,Buikwe District,Christ the King Health Centre II,1,1,14,18,18,-175
Kampala,Kampala District,Christ the King Medical Centre,,,,,,
South Central,Wakiso District,Christ the King Medical Services Health Centre III,,,,,,
Kampala,Kampala District,Christian Armstrong Health Centre,,,,,,
Ankole,Ibanda District,Christian Corps Clinic,1,1,,,,
Kampala,Kampala District,Christos Health Centre II,1,0,,,,
Kampala,Kampala District,Church Road Clinic,1,1,,,,
South Central,Wakiso District,Church Road Medical Centre,,,,,,
West Nile,Adjumani District,Ciforo Health Centre III,1,1,16,27,27,12.5
West Nile,Terego District,Cilio Health Centre III,1,1,33,45,45,-69
Kampala,Kampala District,Cipi Medical Clinc,,,,,,
South Central,Wakiso District,Ciron Domicilliary Clinic,1,1,-67,5,5,
Kampala,Kampala District,Citezen Clinic,,,,,,
Kampala,Kampala District,Citizen Medical Clinic,1,0,,,,
Kampala,Kampala District,Citizen Medical Clinic (Bukoto I),,,,,,
Kampala,Kampala District,Citizen Medical Clinic (Kamwokya),1,0,,,,
Kampala,Kampala District,Citizen Medical Clinic (Luwafu),1,0,,,,
Kampala,Kampala District,Citizen's Medical Care Centre,,,,,,
Kampala,Kampala District,City Clinic Dental Associates,,,,,,
Kampala,Kampala District,City Family Clinic,,,,,,
Kampala,Kampala District,City Hall Clinic,1,1,,,,
Kampala,Kampala District,City Medicals,1,0,,,,
Bunyoro,Buliisa District,City Medicals Buliisa,1,1,,,,
Bunyoro,Hoima City,City Medicals Health Centre IV,1,0,20,4,4,20
Kampala,Kampala District,City Side Clinic,,,,,,
Kampala,Kampala District,Clara Skin Clinic,,,,,,
Kigezi,Kisoro District,Clare Nsenga Health Centre III,1,1,-39,32,32,32.7
Kampala,Kampala District,Clement Med Care Clinic,,,,,,
Kampala,Kampala District,Clinic 28,,,,,,
Ankole,Isingiro District,Clinic Africa Health Centre II,1,1,,,,
South Central,Wakiso District,Clinic Africa Medical,1,1,,,,
Kigezi,Rukiga District,Clinic Africa Muhanga,,,,,,
Bunyoro,Kagadi District,Clinic Centre Kagadi,,,,,,
Acholi,Omoro District,Clinic Wiya Agweng,,,,,,
Kampala,Kampala District,Clinix Health Care,,,,,,
Kampala,Kampala District,Clockwise Clinic,,,,,,
Kampala,Kampala District,Clty Clinic,,,,,,
Kampala,Kampala District,Cmi Health Centre,1,1,,,,
Kampala,Kampala District,CMS Christ Medical Centre,,,,,,
Kampala,Kampala District,Cms Clinic Bakuli,1,0,,,,
Kampala,Kampala District,Code Clinic,1,0,,,,
West Nile,Moyo District,Cohwe Health Centre II,1,1,0,3,3,8.3
Kampala,Kampala District,Combined Dental Care Clinic,,,,,,
Ankole,Bushenyi District,Comboni Hospital,1,1,23,41,41,32
Acholi,Gulu City,Comboni Samaritans Health Centre II,1,1,-120,22,22,0
Kampala,Kampala District,Comfort Home Care,,,,,,
Kampala,Kampala District,Comfort Medical Clinic,,,,,,
Kampala,Kampala District,Comfort Plus Diagnostic Clinic,1,0,,,,
Tooro,Kyegegwa District,Community Care Clinic,1,0,,,,
Teso,Ngora District,Community Care Medical Services,1,1,,,,
Acholi,Gulu City,Community Clinic,1,1,,,,
Teso,Soroti City,Community Clinic & Imaging Centre (Soroti),,,,,,
Kampala,Kampala District,Community Clinic (Kibuli),,,,,,
Kampala,Kampala District,Community Clinic and Lab (Wabigalo),1,1,,,,
Bunyoro,Masindi District,Community Doctors Clinic,1,1,,,,
Busoga,Kaliro District,Community Health Centre III,1,1,,,,
Bukedi,Kibuku District,Community Health Centre III (Kibuku),1,1,-40,14,14,-825
South Central,Wakiso District,Community Health Plan Uganda,1,1,,,,
South Central,Wakiso District,Community Health Plan Uganda Health Centre III,,,,,,
North Central,Mityana District,Community Health Services Mityana,1,1,,,,
Ankole,Rwampara District,Community Medical Centre (Ndeija),1,1,92,1,13,96.7
South Central,Masaka City,Community Medical Centre Kabonera,1,1,,0,0,
West Nile,Arua City,Companion Clinic,,,,,,
Kampala,Kampala District,Compassion Medical Centre,,,,,,
Ankole,Kazo District,Complete Clinic,1,1,,,,
Kampala,Kampala District,Concern Health Services,,,,,,
Kampala,Kampala District,Conslation Clinic,,,,,,
Kampala,Kampala District,Consult Care Medical and Laboratory Services,,,,,,
Kampala,Kampala District,Consult Clinic and Laboratory Services,,,,,,
Kampala,Kampala District,"Consult Clinic, Kisaasi Health Centre II",1,1,,,,
North Central,Mukono District,Consult Medical Centre,,,,,,
Kampala,Kampala District,Contia Medicare Centre,1,1,,,,
Acholi,Gulu District,Coope Health Centre II,1,1,57,3,3,33.3
Kampala,Kampala District,Cor Unum Medical Centrea,1,1,,,,
Kampala,Kampala District,Cornerstone Surgery,1,0,,,,
Acholi,Nwoya District,Corom Health Centre II,1,1,-50,15,19,89.8
South Central,Wakiso District,Corsu Rehabilitation Hospital,1,0,,,,
Kampala,Kampala District,Cortex Medical Clinic,1,0,,,,
Kampala,Kampala District,Cosf Medical Centre,1,1,,,,
Kigezi,Rukungiri District,COU Kisiizi Hospital,1,1,-22,55,55,75.5
Kampala,Kampala District,Country Clinic,,,,,,
Busoga,Kamuli District,Country Side Health Centre II,1,1,-14,16,16,10
Kampala,Kampala District,Cowen and Rifkin Opticians,,,,,,
Kampala,Kampala District,Coweser Medical Clinic,1,1,-37,11,9,-95
Kampala,Kampala District,Crane Health Services,,,,,,
South Central,Wakiso District,Crane Services Health Centre II,1,1,-44,65,65,-2.5
South Central,Mpigi District,Cranmedic Medical Services,1,1,,,,
Kampala,Kampala District,Crescent Hills Health Service,1,1,,,,
Busoga,Jinja City,Crescent Medical Centre,1,1,100,,,0
Kampala,Kampala District,Crest Care Clinic,1,0,,,,
Kampala,Kampala District,Crista Medical Centre,1,0,,,,
Teso,Bukedea District,Cross Emergency Health Centre III,1,1,-24,21,21,-1.7
Teso,Bukedea District,Cross Emergency Medical Centre,,,,,,
Kampala,Kampala District,Crown Care Clinic,,,,,,
Kampala,Kampala District,Crown Dental Clinic,1,0,,,,
Bugisu,Mbale City,Crusader Clinic,,,,,,
Kampala,Kampala District,Crusader Medical Centre,1,0,,,,
South Central,Wakiso District,CSI Medical Services Kireka,1,1,,,,
Kampala,Kampala District,Csl Medical,,,,,,
Acholi,Lamwo District,Cubu Community Health Centre II,1,1,-90,19,19,0
Kampala,Kampala District,Cure Centre,,,,,,
Kampala,Kampala District,Cure Centre (Makindye),1,1,-20,18,15,0
Bugisu,Mbale City,Cure Children's Hospital,1,1,17,5,5,25
Kampala,Kampala District,Cure Clinic,,,,,,
Kampala,Kampala District,Cure Clinic,1,0,,,,
South Central,Wakiso District,Cure General Clinic,,,,,,
Kampala,Kampala District,Cure Health Care,,,,,,
Busoga,Luuka District,Cure Medical Centre,1,1,,,,
Kampala,Kampala District,Cure Medical Centre & Laboratory Services,1,1,38,5,5,0
Kampala,Kampala District,Cure Medical Centre (Bwaise),1,1,,,,
Kampala,Kampala District,Cure Medical Centre (Kanyanya),,,,,,
Kampala,Kampala District,Cure Medical Centre (Kasubi),,,,,,
Bukedi,Butaleja District,Cure Medical Clinic,,,,,,
South Central,Wakiso District,Cure Medical Clinic- Nyanama,,,,,,
South Central,Wakiso District,Cure Medical Consults Health Centre III,,,,,,
South Central,Wakiso District,Cure Medical Health Centre III,,,,,,
West Nile,Maracha District,Curube Health Centre III,1,1,15,46,46,-33
Kampala,Kampala District,Curve Cure Clinic,1,0,,,,
Acholi,Gulu District,Cwero Health Centre III,1,1,66,12,13,-23.2
Kampala,Kampala District,D & B Family Clinic,,,,,,
Kampala,Kampala District,D. K Opticals,1,0,,,,
Bukedi,Busia District,Dabani Hospital,1,1,-5,85,85,5.5
Busoga,Jinja City,Dag Clinic,1,1,,,,
South Central,Kalangala District,Dajje Health Centre II,1,1,50,2,2,30
Teso,Soroti District,Dakabela Health Centre III,1,1,9,69,69,
Kampala,Kampala District,Dalon Medical Centre,,,,,,
Teso,Katakwi District,Damasiko Health Centre II,1,1,-57,11,11,-180
North Central,Mukono District,Damba Health Centre II,1,0,-56,14,9,-385.7
Kampala,Kampala District,Damulira Clinic,,,,,,
Kampala,Kampala District,Dana Medical Clinic,1,1,,,,
Kampala,Kampala District,Dancan Clinic,,,,,,
Ankole,Ntungamo District,Daniel K Medical Health Centre II,1,1,,,,
Kampala,Kampala District,Daniels Drug Shop Health Centre,,,,,,
Kampala,Kampala District,Daphine Medical Centre,1,1,20,4,5,0
Kampala,Kampala District,Dashen Medical Centre,1,0,,,,
North Central,Kayunga District,Dauntena Med. Clinic,,,,,,
Acholi,Agago District,David Fagerlee's Medical Centre,1,1,-9,12,12,10
Kampala,Kampala District,Davis Medical Clinic,,,,,,
Kampala,Kampala District,Dawa Clinic,1,1,,,,
South Central,Kyotera District,Ddembe Drug Shop,,,,,,
North Central,Mukono District,Ddembe Health Centre,1,1,-7,62,62,
Kampala,Kampala District,Ddembe Medical Centre (Kawempe),,,,,,
Kampala,Kampala District,Ddembe Medical Centre (Rubaga),1,0,,,,
North Central,Buikwe District,Ddungi Health Centre II,1,1,-107,29,29,0
Kampala,Kampala District,Dear Mother Health Centre,1,1,44,5,5,0
Kampala,Kampala District,Debby Medical Clinic,1,1,,,,
Lango,Oyam District,Debrose Medical Clinic,1,0,,,,
West Nile,Pakwach District,Dei Health Centre II,1,1,3,63,63,-13.3
Bugisu,Mbale City,Dekar Clinic,,,,,,
South Central,Lyantonde District,Deltal Drug Shop,,,,,,
North Central,Buikwe District,Dema Care Clinic,,,,,,
Bukedi,Tororo District,Dembe Clinic,1,1,,,,
Kampala,Kampala District,Dembe Clinic,1,0,,,,
Kampala,Kampala District,Dembe Clinic (Bwaise),1,1,,,,
Ankole,Kazo District,Dembe Clinic (Kanoni),1,1,,,,
Busoga,Namayingo District,Dembe Health Centre II,1,1,25,6,6,
Kampala,Kampala District,Dembe Medical Care,1,0,,,,
Kampala,Kampala District,Dembe Medical Centre,,,,,,
Kampala,Kampala District,Den 1 Clinic Kawaala,,,,,,
Kampala,Kampala District,Den Clinic,1,0,,,,
North Central,Kiboga District,Deniz Medical Clinic,1,0,,,,
Kampala,Kampala District,Dental and Medical World Limited,,,,,,
Kampala,Kampala District,Dental Prince,,,,,,
Kampala,Kampala District,Dental Studio,,,,,,
Kampala,Kampala District,Dental Trendz,,,,,,
Kampala,Kampala District,Denture Care Centre,1,0,,,,
Kampala,Kampala District,Desire Clinic,,,,,,
Kampala,Kampala District,Desire Clinic And Laboratory,1,1,-64,105,109,-53.1
South Central,Wakiso District,Desire Health Centre II,,,,,,
Kampala,Kampala District,Desire Medical Centre,,,,,,
Kampala,Kampala District,Desire Medical Services,1,0,,,,
Teso,Soroti City,Destiny Clinic,1,1,,,,
Bugisu,Sironko District,Destiny Domiciliary Clinic,1,1,25,3,3,10
Bukedi,Tororo District,Destiny Medical Clinic,1,1,,,,
Kampala,Kampala District,Destiny Medical Clinic,1,0,,,,
Kampala,Kampala District,Devine Care Clinic,,,,,,
Kampala,Kampala District,Devine Clinic,,,,,,
Kampala,Kampala District,Devine Dental Clinic,1,1,,,,
Kampala,Kampala District,Devine Medical Centre,,,,,,
Kampala,Kampala District,Devine Medical Centre,1,0,,,,
Kampala,Kampala District,Devine Medical Clinic (Banda),,,,,,
Bunyoro,Hoima City,Devine Medical Health Centre III,1,0,,,,
South Central,Wakiso District,Devine Mercy Domicilliary Clinic,,,,,,
Ankole,Ntungamo District,Devine Mercy Medical Centre,1,1,,,,
South Central,Wakiso District,Dezoli Ortho Care Clinic,1,1,,,,
South Central,Kyotera District,Dhaki Drug Shop,,,,,,
South Central,Wakiso District,Diagnostic Medical Health Centre III,,,,,,
Kampala,Kampala District,Dialog Medical Clinic,1,1,,,,
Kampala,Kampala District,Diana Medical Centre Nsambya Kevina,,,,,,
South Central,Wakiso District,Dianah Joy Medical Clinic,1,1,29,27,27,
Acholi,Lamwo District,Dibolyec Health Centre II,1,1,16,21,21,-10
Kampala,Kampala District,Dick Medical Centre,1,0,,,,
South Central,Lyantonde District,Digital Drug Shop,,,,,,
South Central,Lyantonde District,Digital Medical clinic,1,1,,,,
Lango,Oyam District,Diicunyi Health Centre III,1,1,-5,45,45,7.7
Bunyoro,Kiryandongo District,Diika Health Centre II,1,1,12,60,60,-3150
Bunyoro,Kiryandongo District,Diima Health Centre III,1,1,0,57,57,9.5
Ankole,Mbarara District,Diisi Medical Clinic,1,1,,,,
Lango,Oyam District,Dilomoi Drugshop,,,,,,
Kampala,Kampala District,Dino Dental Care,1,0,,,,
Acholi,Omoro District,Dino Health Centre II,1,1,15,11,11,-300
Acholi,Kitgum District,Diocese Of Kitgum Health Centre II,1,1,-43,10,10,36.1
Kampala,Kampala District,Disab Health Centre,,,,,,
Kampala,Kampala District,Disab Medical Centre,1,0,,,,
West Nile,Adjumani District,Discovery Medical Centre,1,1,,,,
South Central,Wakiso District,Diva Medical Centre,1,1,,,,
South Central,Wakiso District,Diva Medical Centre- Yesu Amala Health Centre III,,,,,,
Bugisu,Bulambuli District,Divine Clinic,,,,,,
Bugisu,Sironko District,Divine Community Health Centre III,1,1,29,5,5,
Lango,Kole District,Divine Eternity Nursing Home,,,,,,
Kampala,Kampala District,Divine Health Care,,,,,,
Tooro,Ntoroko District,Divine Health Centre II,1,1,,,,
Kampala,Kampala District,Divine Hope Medical Centre,,,,,,
Kampala,Kampala District,Divine Medical Centre,1,1,,,,
Teso,Kumi District,Divine Medical Centre,1,1,,,,
Kampala,Kampala District,Divine Medical Clinic (Rubaga),1,0,,,,
Ankole,Mbarara City,Divine Mercy (Kamukuzi) Hospital,1,1,36,38,38,-27.3
Bukedi,Tororo District,Divine Mercy (Tororo) Clinic,1,1,,,,
Kampala,Kampala District,Divine Mercy Clinic,,,,,,
Tooro,Bunyangabu District,Divine Mercy Clinic,1,1,,,,
Lango,Oyam District,Divine Tocuch Medical Clinic,1,0,,,,
Lango,Kole District,Divine Touch Drugshop,,,,,,
Karamoja,Moroto District,Dmos Clinic,1,1,-108,25,25,-12
Kampala,Kampala District,Doctor's Ambulatory Care,,,,,,
Kampala,Kampala District,Doctor's Chamber,,,,,,
Teso,Serere District,Doctor's Clinic,1,1,,,,
Kampala,Kampala District,Doctor's Clinic (Bwaise),1,1,,,,
Kampala,Kampala District,Doctor's Clinic (Luzira),1,0,,,,
Kampala,Kampala District,Doctor's Clinic (Nakawa),,,,,,
Kampala,Kampala District,Doctor'S Corner Clinic,1,0,,,,
Kampala,Kampala District,Doctor's Diagnostic Clinic,1,1,,,,
Kampala,Kampala District,Doctor's General Clinic (Central Division (Kampala CCA)),,,,,,
Kampala,Kampala District,Doctor's General Clinic (Kawempe),1,0,,,,
Kampala,Kampala District,Doctor's Medical Care,,,,,,
Kampala,Kampala District,Doctor's Medical Centre,1,0,,,,
Bunyoro,Kagadi District,Doctor's Medical Centre,1,1,,,,
Kampala,Kampala District,Doctor's Medical Clinic,1,0,,,,
Kampala,Kampala District,Doctor's Medical Clinic (Komamboga),1,1,27,27,27,0
Kampala,Kampala District,Doctor's Plazza Ltd,1,1,,,,
Bukedi,Tororo District,Doctorplus Medical and Surgical Solutions Health Centre III,1,1,,,,
Kigezi,Rukungiri District,Doctors Case Medicals Health Centre IV,1,1,,,,
Ankole,Bushenyi District,Doctors Case Medicals Ishaka Health Centre III,1,1,,0,0,
North Central,Kayunga District,Doctors Clinic,,,,,,
Tooro,Kyenjojo District,Doctors Clinic (Kyenjojo),,,,,,
South Central,Wakiso District,Doctors Clinic Bweyogerere,,,,,,
North Central,Mubende District,Doctors Clinic Mubende,,,,,,
North Central,Luwero District,Doctors Clinic-Kasana Medical Centre,1,1,-100,6,6,
Kigezi,Kanungu District,Doctors Health Care Clinic HC II,1,1,,,,
South Central,Wakiso District,Doctors Hospital Seguku Hospital,1,1,-13,77,77,0
North Central,Mukono District,Doctors Medcare Clinic Mukono,,,,,,
South Central,Wakiso District,"Doctors Medical Clinic, Katooke",,,,,,
South Central,Wakiso District,Doctors Medical Health Centre III,1,1,4,26,25,-5.5
Teso,Soroti City,Doctors Plaza Health Centre II,,,,,,
Ankole,Mbarara City,Doctors Plaza Health Centre IV,1,1,7,14,14,
Ankole,Ntungamo District,Doctors Referral Hospital,1,1,,,,
Kampala,Kampala District,Doctors' Clinic (Bukoto I),,,,,,
Bukedi,Kibuku District,Dodoi Health Centre II,1,1,19,17,17,26.5
Bukedi,Butaleja District,Doho Health Centre II,1,1,53,15,15,162.9
Busoga,Namayingo District,Dohwe Health Centre II,1,1,-34,47,47,4.7
Lango,Dokolo District,Dokolo Health Centre IV,1,1,1,95,91,4.7
Lango,Dokolo District,Dokolo Maternity Clinic,1,1,,,,
Lango,Lira City,Dokolo Medical Centre,,,,,,
Lango,Dokolo District,Dokolo Prisons Health Centre II,1,1,,,,
Kampala,Kampala District,Dolphine Medical Centre,1,0,,,,
Kampala,Kampala District,Dom Medical Centre,,,,,,
Kampala,Kampala District,Dom Medical Centre-Mutundwe,1,0,,,,
Kampala,Kampala District,Dominion Clinic,1,0,,,,
Kampala,Kampala District,Don Medical Services,1,1,,,,
Kampala,Kampala District,Don-Ken Clinic Nakawa,1,0,,,,
South Central,Mpigi District,Dona Carnevale Medical Centre,1,1,-8,14,14,
Teso,Kumi District,Dona Clinic,1,1,,,,
Kampala,Kampala District,Dormain Clinic,,,,,,
South Central,Mpigi District,Double Cure Health Centre,1,1,0,22,22,-1.3
Kampala,Kampala District,Downland Clinic,,,,,,
Lango,Lira City,Downtown Medical Health Centre III,1,1,,,,
Kampala,Kampala District,Dr Agarwal's Eye Hospital,1,1,,,,
Kampala,Kampala District,Dr Charles Farthing Memorial Clinic Uganda Care Health Centre II,,,,,,
Kampala,Kampala District,"Dr E.G Mugadu, Ear,Nose and Throat Health Centre II",,,,,,
Kampala,Kampala District,Dr Gw Ssamula Dental Clinic,,,,,,
Kampala,Kampala District,Dr Hakim Medical Centre,1,0,,,,
Kampala,Kampala District,Dr M Ahmads Clinic,,,,,,
Busoga,Kaliro District,Dr. Ambrosoli Health Centre III,1,1,-15,31,31,111.6
Acholi,Agago District,Dr. Ambrosoli Memorial Hospital Kalongo,1,1,-4,59,59,0
South Central,Sembabule District,Dr. Kakungulu Medical Centre,,,,,,
Busoga,Jinja City,Dr. Keneko Faith Memorial Centre,1,1,,,,
Busoga,Kaliro District,Dr. Kibirige's Clinic,,,,,,
Bukedi,Butaleja District,Dr. Margaret Mungherera Health Centre III,1,1,5,42,42,14.8
Kampala,Kampala District,Dr.Charles Furthing Clinic,1,1,,,,
Kampala,Kampala District,Dr.Lubega Clinic,1,0,,,,
Kampala,Kampala District,Drabeth Domiciary Clinic,1,1,,,,
West Nile,Yumbe District,Dramba Health Centre III,1,1,0,32,25,36.4
West Nile,Koboko District,Dranya Health Centre III,1,1,-5,40,40,-100
Kampala,Kampala District,Dream Dental Clinic,,,,,,
Acholi,Omoro District,Dream Health Centre III,1,1,5,18,18,28.6
West Nile,Koboko District,Dricile Health Centre III,1,1,,,,
West Nile,Moyo District,Dufile Health Centre III,1,1,7,13,13,11.1
Busoga,Kamuli District,Dungu Clinic,,,,,,
Acholi,Pader District,Dure Health Centre II,1,1,-75,14,14,16.2
Bunyoro,Hoima District,Dwoli Health Centre III,1,1,26,39,39,41
West Nile,Adjumani District,Dzaipi Health Centre III,1,1,6,29,29,-63
Kampala,Kampala District,E Motion Clinic,,,,,,
