Region,District,HF,Expected reports,Actual reports,dropout rate,DPT3,PCV 3,wastage rate
South Central,Wakiso District,Family Care Hospital,,,,,,
West Nile,Arua City,Family Care Hospital,3,2,19,79,82,-597.5
Kampala,Kampala District,Family Care Medical Centre,,,,,,
Kampala,Kampala District,Family Care Medical Clinic,,,,,,
Kampala,Kampala District,Family Care Medical Clinic,3,0,,,,
North Central,Kayunga District,Family Clinic,3,2,,,,
Kampala,Kampala District,Family Clinic (Kisenyi II),3,3,,,,
Kampala,Kampala District,Family Clinic (Lungujja),,,,,,
Kampala,Kampala District,Family Clinic and Maternity Kyebando,3,1,-39,25,29,0
Kampala,Kampala District,Family Clinic Lusazze,3,1,0,30,30,
Kampala,Kampala District,Family Clinic Mulimira,3,0,,,,
Kampala,Kampala District,Family Dental Sergery,,,,,,
Kampala,Kampala District,Family Doctors,3,0,,,,
Bukedi,Tororo District,Family Doctors Clinic (Malaba),3,1,,,,
Kampala,Kampala District,Family Doctors Clinic (Ntinda),3,2,,,,
Ankole,Ntungamo District,Family Doctors Clinic (Ntungamo),3,2,0,2,2,82.5
Kampala,Kampala District,Family Doctors Medicare Clinic,,,,,,
Kampala,Kampala District,Family Domiciliary Katoogo,3,0,,,,
South Central,Mpigi District,Family Drug Shop,,,,,,
Lango,Apac District,Family Drugshop,,,,,,
Bunyoro,Kiryandongo District,Family Health Care (Karuma) Clinic,,,,,,
Tooro,Bundibugyo District,Family Health Care Clinic,,,,,,
Ankole,Ibanda District,Family Health Clinic,,,,,,
Kampala,Kampala District,Family Health Clinic (Bwaise II),3,0,,,,
North Central,Kiboga District,Family Health Clinic (Kiboga),3,1,,,,
Kampala,Kampala District,Family Health Clinic (Kibuye II),,,,,,
South Central,Wakiso District,Family Health Clinic (Masajja),3,2,0,5,5,-250
Kampala,Kampala District,Family Health Clinic and Laboratory Services,,,,,,
Ankole,Kiruhura District,Family Health Resource Centre Clinic,3,3,,,,
Busoga,Jinja City,Family Hope Centre Jinja,3,2,,,,
Kampala,Kampala District,Family Hope Centre Kampala,3,2,,,,
Kampala,Kampala District,Family Hope Medical Centre (Bwaise III),3,2,,,,
South Central,Wakiso District,Family Hope Medical Centre (Nabweru) Health Centre III,3,1,,,,
South Central,Wakiso District,Family Medicare Clinic,,,,,,
Kampala,Kampala District,Family Medicine Centre,,,,,,
Busoga,Kamuli District,Family Nursing Home Health Centre III,3,2,,,,
South Central,Wakiso District,Family Ortho Clinic Entre,,,,,,
Ankole,Mbarara City,Family Planning Association Clinic,,,,,,
Kampala,Kampala District,Fareen Medical Clinic,3,0,,,,
Kampala,Kampala District,Fargie Genaal Clinic,3,0,,,,
Kampala,Kampala District,Farsham Medical Centre,,,,,,
Busoga,Bugiri District,Fast Line Cinic Clinic,3,2,,,,
Kampala,Kampala District,Fat Clinic,,,,,,
Kampala,Kampala District,Fati Clinic,,,,,,
Lango,Kole District,Favour Drugshop,,,,,,
Kampala,Kampala District,Favour Medcare,3,2,,,,
North Central,Kayunga District,Fellowship Medical Clinic,,,,,,
Busoga,Kamuli District,Fellowship Medical Health Centre III,3,2,,,,
Kampala,Kampala District,Fertility Endoscopy Clinic,,,,,,
Kampala,Kampala District,Fervid Mediacl Care,,,,,,
Kampala,Kampala District,Fiath Heals Clinic,,,,,,
South Central,Mpigi District,Fiduga Medical Centre,3,2,,,,
Bugisu,Bududa District,Fimrc Health Centre III,3,2,1,147,147,14.7
Kampala,Kampala District,Fiona Clinic (Nakawa),,,,,,
Kampala,Kampala District,Fiona Maternity Home,,,,,,
Kampala,Kampala District,Fire Prevention and Rescue Services Clinic,3,3,,,,
Kampala,Kampala District,First Choice Clinic,3,0,,,,
Kampala,Kampala District,First Choice Medical Centre,3,0,,,,
Kampala,Kampala District,First Line Medical Centre,,,,,,
Kampala,Kampala District,First Line Medical Clinic,3,0,,,,
Kampala,Kampala District,First Priority Medical Centre,3,0,,,,
Acholi,Gulu City,Fitzmann Medical and Dental Clinic,3,1,,0,0,
Acholi,Nwoya District,Flama Health Centre II,3,2,,,,
Acholi,Omoro District,Flama Uganda Clinic,,,,,,
Acholi,Gulu City,Flama Uganda Health Centre II,3,1,28,31,31,-12
Acholi,Kitgum District,Florence Medic Drug Supplies Health Centre II,,,,,,
Kampala,Kampala District,Florence Medical Services,,,,,,
Lango,Oyam District,Florence Memorial Drugshop,,,,,,
Lango,Apac District,Florence Nightingale Hospital,3,3,8,177,182,-444.9
Ankole,Kazo District,Focus Foundation Health Centre,,,,,,
Kampala,Kampala District,Focus Medical Centre,,,,,,
Kampala,Kampala District,Focus Medical Centre,3,2,,,,
South Central,Wakiso District,Foh Medical Clinic,3,2,,,,
Tooro,Fort Portal City,Fort Portal Regional Blood Bank,,,,,,
Tooro,Fort Portal City,Fort Portal Regional Referral Hospital,3,2,-2,135,135,71.5
North Central,Kiboga District,Foso Health Care Clinic,3,2,,,,
Kampala,Kampala District,Fountain Medics Medical Centre,3,0,,,,
West Nile,Moyo District,Fr. Bilbao Health Centre III,3,2,8,23,23,-236.4
South Central,Wakiso District,Francisca Medical Clinic,,,,,,
Kampala,Kampala District,Fremar Medical Centre,,,,,,
Kampala,Kampala District,Fremma Medical Centre,3,0,,,,
Kampala,Kampala District,Fresco Medical Services,3,0,,,,
South Central,Wakiso District,Fridauce and Ssekubwa Medical Health Centre II,3,0,,,,
Kampala,Kampala District,Fridnds Medical Clinic,,,,,,
Lango,Apac District,Friend's Medicine's Clinic,,,,,,
Kampala,Kampala District,Friendly Care Clinic,,,,,,
Kampala,Kampala District,Friends Clinic,,,,,,
Kampala,Kampala District,Friends Medical Centre,,,,,,
Kampala,Kampala District,Friends Medical Centre,,,,,,
Kampala,Kampala District,Friends Medical Clinic,,,,,,
Bukedi,Tororo District,Friends Medical Clinic,3,1,,,,
Kampala,Kampala District,Friends Poly Clinic,3,2,,,,
Lango,Kwania District,Friendship Drugshop,,,,,,
Kampala,Kampala District,Frontier Medical Centre,,,,,,
South Central,Wakiso District,Frost Hospital,3,3,-11,101,101,
West Nile,Pakwach District,Fualwonga Health Centre II,3,3,4,47,47,-44.2
Kampala,Kampala District,Full Life,3,1,,,,
South Central,Wakiso District,Full Life Medical Clinic,,,,,,
Bukedi,Tororo District,Fungwe Health Centre II,3,2,33,18,18,-100
Kampala,Kampala District,Gabex Medical Centre,,,,,,
Tooro,Bundibugyo District,Gadafi Medical Centre Health Centre II,3,2,,,,
Busoga,Jinja City,Gaddafi Barracks Health Centre III,3,2,-20,18,18,-25.6
Busoga,Kaliro District,Gadumire Health Centre III,3,2,6,158,158,15.8
South Central,Wakiso District,Galaxy Medical Clinic,3,1,,,,
South Central,Kyotera District,Galen Domiciliary Clinic,3,2,,,,
Bunyoro,Kagadi District,Galiboleka Health Centre II,3,2,-13,115,111,1.8
North Central,Kayunga District,Galilaya Prisons Clinic,3,1,,,,
Kampala,Kampala District,Galilee Community Hospital,3,3,-4,121,121,8.4
Bukedi,Butebo District,Galimagi (Butebo) Health Centre III,3,3,33,95,95,-36
North Central,Kayunga District,Galiraya Health Centre III,3,3,25,64,64,51
Kampala,Kampala District,Gallop Clinic,3,3,,,,
Bugisu,Bulambuli District,Gamatimbei Health Centre III,3,3,8,192,196,22.4
Bugisu,Kapchorwa District,Gamatui Health Centre II,3,2,50,9,9,-5.1
Bugisu,Kapchorwa District,Gamogo Health Centre III,3,3,11,25,25,71.3
Bugisu,Mbale City,Gangama Health Centre II,3,3,23,40,40,4.3
Karamoja,Abim District,Gangming Health Centre II,3,2,8,54,52,17.5
Kigezi,Kisoro District,Gapfurizo Health Centre II,3,2,-52,41,41,-84.7
Kampala,Kampala District,Garden City Medical Centre,,,,,,
Kampala,Kampala District,Garden Clinic (Mengo),3,0,,,,
Teso,Soroti City,Garden Clinic (Soroti),,,,,,
Lango,Apac District,Garden Medical Centre Clinic,,,,,,
Kigezi,Rukungiri District,Garubunda Health Centre II,3,3,55,5,5,26.7
Kigezi,Kisoro District,Gasovu Health Centre II,3,2,9,60,63,
Kigezi,Kisoro District,Gasovu Health Centre III,3,2,16,53,55,17.7
Kampala,Kampala District,Gasto Medical Centre,3,0,,,,
Kampala,Kampala District,Gastro-Intestinal Liver Disease Treatment and Research,,,,,,
Kigezi,Kisoro District,Gateriteri Health Centre III,3,3,-52,41,34,-52.1
South Central,Wakiso District,Gates Clinic,,,,,,
Kampala,Kampala District,Gatewell Generalclinic,,,,,,
Kampala,Kampala District,Gava Medical Centre,,,,,,
South Central,Wakiso District,Gava Medical Clinic,,,,,,
South Central,Wakiso District,Gayaza Diagnostic Medical Health Centre III,,,,,,
South Central,Kyotera District,Gayaza Health Centre II,3,3,-106,35,35,34.5
Kampala,Kampala District,Gayaza Road Mefical Centre,,,,,,
West Nile,Moyo District,Gbalala Health Centre II,3,2,-267,11,11,0
West Nile,Moyo District,Gbari Health Centre II,3,2,-33,8,8,10
West Nile,Koboko District,Gborokolongo Health Centre III,3,3,31,57,57,-76.7
West Nile,Madi-Okollo District,Gbulukuatuni Health Centre II,3,2,38,24,24,8
South Central,Kyotera District,Gecajo Drug Shop,,,,,,
South Central,Wakiso District,Gelbra Medical Clinic,,,,,,
Kampala,Kampala District,Gemini Medical Centre,3,2,,,9,
Kampala,Kampala District,Gen-Pearl Medical Centre,3,0,,,,
South Central,Wakiso District,General Health Care Health Centre II,,,,,,
Kampala,Kampala District,General Medical Clinic,,,,,,
South Central,Masaka City,General Medical Clinic,3,3,,0,0,
Kampala,Kampala District,Generation Medical Clinic,3,3,,,,
Lango,Kwania District,Genesis Drugshop,,,,,,
Kampala,Kampala District,Genesis Health Care,3,0,,,,
Kampala,Kampala District,Genesis Medical Centre,3,0,,,,
Kampala,Kampala District,Genesis Medical Centre (Kasubi),,,,,,
Kampala,Kampala District,Genesis Medical Centre (Mbuya),,,,,,
Busoga,Kaliro District,Genesis Psychiatric Clinic,,,,,,
Bukedi,Tororo District,Geno Community Nursing Home Clinic,3,3,,,,
Lango,Oyam District,Genrwot Medical Clinic,3,1,,,,
Acholi,Omoro District,Geofrey Clinic,,,,,,
Kampala,Kampala District,Geogina Eye,,,,,,
Acholi,Agago District,Geregere Health Centre II,3,3,11,94,1045,52
South Central,Wakiso District,Geroba Domicilliary Clinic,,,,,,
South Central,Wakiso District,Gerro Medical Clinic,,,,,,
Tooro,Kitagwenda District,Gertrude Memorial Community Health Health Centre II,3,3,,,,
Kampala,Kampala District,Get Well General Clinic,3,2,40,59,62,
Kampala,Kampala District,Ggaba Medical Clinic,3,0,,,,
South Central,Wakiso District,Gganda Clinic,3,1,,,,
South Central,Wakiso District,Ggangu Medical Health Centre II,,,,,,
South Central,Mpigi District,Ggoli - St Yakobo Health Centre III,3,3,29,51,51,0
South Central,Mpigi District,Ggolo Health Centre III,3,2,-30,43,43,4.1
South Central,Wakiso District,Ggwatiro Nursing Home Hospital,3,2,-15,188,188,-23.7
South Central,Wakiso District,Giant Medical Clinic,,,,,,
Kampala,Kampala District,Gibbson Clinic and Lab Services,,,,,,
South Central,Wakiso District,Gibmark Medical Health Centre II,3,3,100,,,
South Central,Wakiso District,Gibwaka Medical Clinic,,,,,,
West Nile,Yumbe District,Gichara Health Centre II,3,3,4,104,104,24.9
Kampala,Kampala District,Gidoti Medical Centre,3,2,,,,
Kampala,Kampala District,Gif Care Medical Centre,3,0,,,,
Kampala,Kampala District,Gif Medical Centre,,,,,,
Lango,Lira City,Gift Life Medical Centre,3,2,19,17,17,3.2
Kampala,Kampala District,Gift Medical Centre,,,,,,
Kampala,Kampala District,Gift Medical Clinic,3,0,,,,
Kampala,Kampala District,Gifted Hands Clinic,3,2,,,,
South Central,Wakiso District,Gifted Hands Medical Clinic,,,,,,
Kampala,Kampala District,Gildt Clinic,,,,,,
West Nile,Arua City,Giligili Prisons Health Centre II,3,3,,,,
Ankole,Sheema District,Giramatsiko Medical Health Centre III,3,3,,,,
Kigezi,Kisoro District,Gisozi Health Centre II,3,3,18,55,55,19.9
Kigezi,Kisoro District,Gitovu Health Centre II,3,3,-19,25,27,
Tooro,Kasese District,Give A Goat Africa Health Centre III,3,3,56,4,4,50
Kampala,Kampala District,Gladex Medical Clinic,3,1,,,,
North Central,Luwero District,Gladys Domiciliary Clinic,3,3,,,,
Acholi,Gulu City,Glanhor Clinic,3,0,,,,
Busoga,Jinja City,Glanz Dignity Medcare,3,2,,,,
West Nile,Koboko District,Global Clinic,3,2,,,,
South Central,Wakiso District,Global Health & HIVAIDS Initiative Uganda Health Centre II,,,,,,
Kampala,Kampala District,Global Medical Centre,3,0,,,,
Kampala,Kampala District,Global Medical Clinic,3,0,,,,
West Nile,Adjumani District,Global Medical Clinics,3,2,,,,
Kampala,Kampala District,Global Medical Services,,,,,,
Kampala,Kampala District,Global Medicare Centre,3,2,,,,
Kampala,Kampala District,Global Safe Medical Centre,3,2,,,,
South Central,Wakiso District,Global Trust Medical Health Centre III,3,1,-7,30,30,
Kampala,Kampala District,Global W.C Medical clinic,3,0,,,,
North Central,Kyankwanzi District,Global Woods Health Centre II,3,2,,,,
Kampala,Kampala District,Globe Clinic,,,,,,
Kampala,Kampala District,Glona Medical Centre,3,2,,,,
Bunyoro,Hoima District,Gloria Health Centre II,3,2,,,,
Kampala,Kampala District,Gloria Medical Centre,3,0,,,,
Kampala,Kampala District,Glorious Medical Centre,3,3,,,,
Kampala,Kampala District,Glorious Medical Clinic,3,0,,,,
Kampala,Kampala District,Glory and Joy,,,,,,
Kampala,Kampala District,Glory Clinic,,,,,,
Kampala,Kampala District,Glory Medical Clinic,3,1,,,,
South Central,Wakiso District,Glory Medical Clinic (Bunamwaya),,,,,,
Kampala,Kampala District,Glory Medical Clinic (Rubaga),3,1,,,,
Kampala,Kampala District,Glory Medicare,,,,,,
Kampala,Kampala District,Glory Medicine Centre,,,,,,
Kampala,Kampala District,Glory Of Christ Medical Centre,,,,,,
Kampala,Kampala District,Gloryland Medical Centre,,,,,,
Kampala,Kampala District,Goal Medical Centre,,,,,,
West Nile,Yumbe District,Goboro Health Centre II,3,2,-58,224,224,3.6
Kampala,Kampala District,God Bless Cares Clinic,,,,,,
Tooro,Kyegegwa District,God Cares Clinic,3,2,,,,
Busoga,Kamuli District,God Cares Health Centre II,3,2,17,30,30,37.1
Kampala,Kampala District,God Cares Medical Centre,,,,,,
Lango,Oyam District,God Gift Drugshop,,,,,,
Lango,Kole District,God Gifted Drugshop,,,,,,
Kampala,Kampala District,God Healing General Clinic,,,,,,
Kampala,Kampala District,God Heals Medical Clinic,3,0,,,,
South Central,Kyotera District,God is able Drug Shop,,,,,,
Kampala,Kampala District,God the Answer,,,,,,
Kampala,Kampala District,God's Able Clinic,,,,,,
Tooro,Kyenjojo District,God's Care Medical Health Centre II,3,3,-14,16,16,-388.9
South Central,Wakiso District,God's Grace Clinic,3,2,,,,
Kampala,Kampala District,God's Grace Clinic,,,,,,
Kampala,Kampala District,God'S Grace Clinic,3,0,,,,
Bunyoro,Kibaale District,God's Grace Medical Clinic,3,2,,,,
Kampala,Kampala District,God's Grace Medical Clinic (Kawempe I),,,,,,
Kampala,Kampala District,God's Grace Medical Clinic (Kyebando),,,,,,
Kampala,Kampala District,God'S Healing Clinic Kikoni,3,0,,,,
Lango,Apac District,God's Mercy,,,,,,
South Central,Wakiso District,God's Mercy Clinic,,,,,,
Busoga,Bugiri District,God's Mercy Clinic,3,2,32,26,30,
Acholi,Nwoya District,God's Mercy Health Centre II,3,3,,,,
Kampala,Kampala District,God's Midical Clinic,,,,,,
Kampala,Kampala District,God'S Plan Medical Centre Kakungulu,3,0,,,,
Tooro,Kyegegwa District,God's Will Clinic,,,,,,
Kampala,Kampala District,God'S Will Clinic,3,0,,,,
Kampala,Kampala District,God's Will Medical Clinic,3,1,,,,
Kampala,Kampala District,Godnet Medical Clinic,,,,,,
Kampala,Kampala District,Gods Care,3,0,,,,
Lango,Kole District,Gods Grace Drugshop,,,,,,
Kampala,Kampala District,Gods Mercy Clinic (Kabowa),,,,,,
Kampala,Kampala District,Gods Mercy Clinic (Kasubi),,,,,,
Kampala,Kampala District,Gods Mercy Clinic (Kyanja),,,,,,
Lango,Kole District,Gods Mercy Drugshop,,,,,,
Kampala,Kampala District,Gods Mercy Medical Centre,,,,,,
South Central,Wakiso District,Gods Will Medical Clinic,3,2,,,,
Busoga,Kamuli District,Gofine Clinic,3,2,,,,
Kampala,Kampala District,Gogo Medical Centre,3,1,,,,
Bukedi,Pallisa District,Gogonyo Health Centre III,3,3,0,198,198,-164.8
Bukedi,Pallisa District,Gogonyo Medical Centre,,,,,,
Kampala,Kampala District,Gold Medical Chamber,3,0,,,,
Kampala,Kampala District,Golden Eye Surgery and Optical Services,3,2,,,,
South Central,Wakiso District,Golden Medical Clinic,,,,,,
West Nile,Nebbi District,Goli Health Centre IV,3,3,15,160,160,0.95
South Central,Mpigi District,Golola Medical Care,3,2,-26,59,59,7.6
North Central,Mukono District,Goma Health Centre III,3,3,8,521,8921,-62
Bugisu,Bulambuli District,Gombe (Bulambuli) Health Centre II,3,2,5,52,52,-13.6
South Central,Wakiso District,Gombe (Wakiso) Health Centre II,3,2,-17,49,48,0
South Central,Butambala District,Gombe General Hospital,3,3,19,39,39,26.4
Kampala,Kampala District,Gombe medical services,3,2,,,,
Kampala,Kampala District,Good brothers,,,,,,
Kampala,Kampala District,Good Care Clinic.,3,1,,,,
Lango,Kole District,Good Care Drugshop,,,,,,
Kampala,Kampala District,Good Choice Medical,3,0,,,,
Kampala,Kampala District,Good Doctor General Clinic,3,0,,,,
Kampala,Kampala District,Good Health For Women Project Clinic,,,,,,
Kampala,Kampala District,Good Health Medical Centre,,,,,,
South Central,Wakiso District,Good Health Medical Clinic,3,2,,,,
Kampala,Kampala District,Good Hope Clinic,,,,,,
Kampala,Kampala District,Good Hope Health Care Centre,,,,,,
South Central,Wakiso District,Good Hope Health Centre II,,,,,,
North Central,Luwero District,Good Hope Medical Centre,3,2,-4,80,78,4
Acholi,Lamwo District,Good Hope Medical Centre (Lamwo) Clinic,,,,,,
Acholi,Gulu City,Good Hope Medical Centre(Gulu) Clinic,3,1,,0,0,
Kampala,Kampala District,Good Hope Medical Clinic,,,,,,
Tooro,Kitagwenda District,Good Hope NGO Health Centre II,3,2,,,,
Kampala,Kampala District,Good Life Care Clinic,,,,,,
South Central,Kyotera District,Good Life Clinic,3,3,-10,11,11,70.8
South Central,Wakiso District,Good Life Clinic Najjera,3,3,-4,28,20,48.5
Lango,Apac District,Good Life Health Care,,,,,,
Kampala,Kampala District,Good Lord Medical Centre,3,1,,,,
Kampala,Kampala District,Good Luck Clinic,,,,,,
Kampala,Kampala District,Good Luck Clinic,3,0,,,,
Lango,Kole District,Good Luck Drugshop,,,,,,
South Central,Wakiso District,Good Luck Medical Clinic,,,,,,
Kampala,Kampala District,Good New Medical Centre,,,,,,
Kampala,Kampala District,Good News Medical Clinic,3,0,,,,
Kampala,Kampala District,Good Samaritan Clinic (Banda),3,0,,,,
Kampala,Kampala District,Good Samaritan Clinic (Makindye I),3,0,,,,
Kampala,Kampala District,Good Samaritan Clinic (Salaama),3,0,,,,
Kampala,Kampala District,Good Samaritan Clinic- Mbuya,3,2,2,192,192,0
Bunyoro,Kagadi District,Good Samaritan Community Medical Centre,3,1,5,75,68,15.3
Kampala,Kampala District,Good Samaritan Dental Clinic,,,,,,
Kampala,Kampala District,Good Samaritan Dom Clinic,,,,,,
Kampala,Kampala District,Good Samaritan General Clinic,,,,,,
North Central,Kiboga District,Good Samaritan Health Clinic,3,0,,,,
Bunyoro,Kibaale District,Good Samaritan Kabasara Health Centre II,3,2,9,21,24,14.3
South Central,Wakiso District,Good Samaritan Medical Clinic (Kira),3,2,25,75,77,
Ankole,Mbarara District,Good Samaritan Medical Clinic (Rwanyamahembe),3,3,,,,
Kampala,Kampala District,Good Sammaritan Domicillaky and Matenity,,,,,,
Kampala,Kampala District,Good Shed Clinic,,,,,,
South Central,Wakiso District,Good Shepherd Medical Clinic,,,,,,
Kampala,Kampala District,Good Shephered Medical Centre,,,,,,
Kampala,Kampala District,Good Will Clinic,3,0,,,,
South Central,Lyantonde District,Good Will Medical Centre,3,2,,,,
Kampala,Kampala District,Good Will Medical Clinic,3,2,,,,
Kampala,Kampala District,Good Will Polly Clinic,3,2,-12,63,65,0
Kampala,Kampala District,Goodcare Medical Centre,,,,,,
Kampala,Kampala District,Goodday Clinic,3,3,,,,
Kampala,Kampala District,Goodlife Medical Centre,,,,,,
Ankole,Ibanda District,Goodlife Medical Clinic,,,,,,
Lango,Kwania District,Goodnews Medical Clinic,,,,,,
Acholi,Nwoya District,Goodsheperd Health Centre II,3,2,30,7,7,
North Central,Kiboga District,Goodway Domiciliary Home,3,2,,,,
South Central,Masaka City,Goodwill Imaging & Diagnostic Laboratory,,,,,,
Acholi,Gulu City,Goodwilll Polyclinic,,,,,,
West Nile,Moyo District,Goopi Health Centre II,3,2,80,2,2,-14.3
Ankole,Mbarara District,Gord Medical Clinic,3,3,,,,
Bukedi,Tororo District,Goria Medical Centre,3,3,,,,
Kampala,Kampala District,Goshen Medical Centre,3,0,,,,
Acholi,Nwoya District,Gotapwoyo Health Centre III,,,,,,
North Central,Mityana District,Grace Allied Clinic,3,2,,,,
South Central,Wakiso District,Grace Clinic,3,2,,,,
Kampala,Kampala District,Grace Dental Clinic,3,1,,,,
North Central,Mukono District,Grace Family Health Centre II,3,3,,,,
Kampala,Kampala District,Grace Medical and Dental Clinic,3,1,,,,
Bukedi,Pallisa District,Grace Medical Centre,,,,,,
Kampala,Kampala District,Grace Medical Centre,3,1,,,,
Bukedi,Tororo District,Grace Medical Clinic,3,1,,,,
Kampala,Kampala District,Grace Medical Clinic (Kamwokya II),3,3,,,,
Kampala,Kampala District,Grace Medical Clinic (Mbuya I),,,,,,
Kampala,Kampala District,Grace Medical Clinic (Mbuya II),3,0,,,,
Kampala,Kampala District,Grace Medical Clinic (Nakasero IV),3,2,,,,
South Central,Wakiso District,Grace Medical Clinic (Ndejje),,,,,,
Kampala,Kampala District,Grace Medical Clinic (Wabigalo),,,,,,
Ankole,Mbarara City,Grace Memorial Clinic,3,3,,0,0,
Kampala,Kampala District,Grace Optical Services,,,,,,
Kampala,Kampala District,Graceland Medical Centre,,,,,,
Kampala,Kampala District,Gracious Domiciliary Home,3,2,,,,
Acholi,Gulu District,Gracius Clinic and Maternity Home,3,2,40,9,9,0
South Central,Wakiso District,Grade Clinic,,,,,,
Kampala,Kampala District,Graham Medical Clinic,3,0,,,,
Kampala,Kampala District,Grapher Clinic,,,,,,
Kampala,Kampala District,Graugon medical Centre,3,3,0,20,19,
Lango,Apac District,Great Hope Clinic,,,,,,
Tooro,Fort Portal City,Great Lakes Hospital,3,3,-5,41,45,272.9
South Central,Sembabule District,Great Mission Of Guma Guma Clinic,3,3,,,,
Teso,Kumi District,Great Save Medicare Clinic,3,2,,,,
North Central,Buikwe District,Greater Love Health Centre II,3,2,14,19,19,5.1
North Central,Mukono District,Green Cottage Medical Centre,3,3,-3,38,40,7.5
Kampala,Kampala District,Green Life Medical Centre,3,1,,,,
South Central,Wakiso District,Green Medical Health Centre III,3,1,75,1,1,60
Kampala,Kampala District,Green Sky Medical Centre,3,0,,,,
Kigezi,Rubanda District,Green Valley Health Centre II,3,3,-86,13,9,
South Central,Wakiso District,Griella Medical Centre,,,,,,
Kampala,Kampala District,Grogen Clinicare Diagnostics,,,,,,
Busoga,Jinja City,Guardian Angle Internation,,,,,,
Busoga,Jinja District,Guardian Cinic,3,2,,,,
West Nile,Arua City,Guardian Clinic,,,,,,
Kampala,Kampala District,Guardian Medi Care,3,1,,,,
Acholi,Gulu City,Gulu Independent Hospital,3,2,0,105,105,0
Acholi,Gulu City,Gulu Lifeline Clinic,,,,,,
Acholi,Gulu City,Gulu Military General Hospital,3,3,8,33,33,116.2
Acholi,Gulu City,Gulu Police Health Centre III,3,2,41,10,10,2.2
Acholi,Gulu City,Gulu Prisons Health Centre III,3,3,0,34,34,-184.2
Acholi,Gulu City,Gulu Regional Referral Hospital,3,2,28,345,346,-1.2
Acholi,Gulu City,Gulu University Health Centre II,3,1,,,,
Acholi,Gulu City,Gulu Women Prisons Health Centre II,3,2,,,,
Acholi,Gulu City,Gulu Youth Health Centre II,,,,,,
Acholi,Amuru District,Guruguru Health Centre II,3,3,13,56,62,-227.6
Kampala,Kampala District,Gv Medical Centre,3,2,,,,
South Central,Wakiso District,GV Medical Centre,,,,,,
North Central,Mukono District,Gwalibawadde Health Centre II,3,2,,,,
South Central,Kyotera District,Gwanda Health Centre II,3,2,-83,33,33,-1000
Bukedi,Tororo District,Gwaragwara Health Centre II,3,3,6,45,45,
Acholi,Kitgum District,Gweng-Coo Health Centre II,3,3,17,29,33,-17.7
Acholi,Gulu District,Gwengdiya Health Centre II,3,3,31,33,33,20.7
Kampala,Kampala District,Gwere Clinic,3,2,,,,
West Nile,Moyo District,Gwere Health Centre II,3,2,38,10,10,2.5
Teso,Soroti District,Gweri Health Centre III,3,3,-20,210,158,-91
Lango,Oyam District,Gwok-Kwo Drugshop,,,,,,
North Central,Mukono District,Gyagenda Health Centre II,,,,,,
Kampala,Kampala District,Gyenvudde Clinic,,,,,,
Kampala,Kampala District,H R Medical Clinic,,,,,,
Kampala,Kampala District,H0Listic Care Clinic,,,,,,
Kampala,Kampala District,Ha Vivid,3,0,,,,
Busoga,Namayingo District,Haama Health Centre II,3,2,-12,18,18,172.3
Kigezi,Kabale District,Habubale Health Centre II,3,3,-12,45,45,30
Bukedi,Busia District,Habuleke Health Centre II,3,2,3,35,35,10
Bukedi,Butaleja District,Hahoola Health Centre II,3,3,15,51,51,20
Kampala,Kampala District,Haki Diagnostic Centre,,,,,,
Kigezi,Rubanda District,Hakishenyi Health Centre II,3,2,-27,14,14,
South Central,Wakiso District,Hal-Pa General Clinic,3,0,,,,
Kampala,Kampala District,Hallelujah Medical Centre,3,0,,,,
Kampala,Kampala District,Hallelujah Medical Clinic,,,,,,
South Central,Wakiso District,Ham Medical Clinic (Bweyogerere),,,,,,
Kampala,Kampala District,Ham Medical Clinic (Kawempe I),,,,,,
Kampala,Kampala District,Hamaar Medical Services,3,0,,,,
Tooro,Kasese District,Hamukungu Health Centre II,3,3,46,15,15,42.9
Kigezi,Rubanda District,Hamurwa Health Centre IV,3,3,3,94,95,62.9
South Central,Wakiso District,Hannah Medical Clinic,,,,,,
Kampala,Kampala District,Hanns Medical Care,,,,,,
Kampala,Kampala District,Happy Family Clinic,3,0,,,,
Ankole,Ntungamo District,Happy Health Insurance Scheme Health Centre II,3,2,,,,
Tooro,Kyegegwa District,Hapuuyo Health Centre III,3,3,-9,458,462,-63.3
Kampala,Kampala District,Harold Pokyclinic Naalya,,,,,,
South Central,Wakiso District,Harold Poly Clinic,3,3,,,,
Kampala,Kampala District,Haruna Medical Centre,,,,,,
Kampala,Kampala District,Harvest Clinic,3,0,,,,
Kampala,Kampala District,Hasana Medical Centre,,,,,,
Ankole,Kazo District,Hasten Diagnostic Centre,3,2,,,,
Bukedi,Busia District,Hasyule Health Centre II,3,3,2,59,59,0.59
Kampala,Kampala District,Havan Medical Clinic,3,0,,,,
South Central,Wakiso District,Havana Medical Clinic,,,,,,
South Central,Wakiso District,He Cares Medical and Lab Health Centre III,,,,,,
Kigezi,Rubanda District,Heal Medical Centre,3,2,-100,30,30,-55
South Central,Rakai District,Heal the Nation Health Centre II,3,2,22,52,51,-7.3
North Central,Mukono District,Healing Balm Health Centre II,3,3,,,,
Busoga,Bugiri District,Healing Grace Medical Health Centre II,3,2,27,8,9,22.5
Acholi,Gulu City,Healing Hand Medical Centre,3,1,,,,
West Nile,Obongi District,Healing Kadi Health Centre II,,,,,,
Kampala,Kampala District,Health Care Centre,,,,,,
